Date,Week No
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-02,0
2022-10-03,1
2022-10-04,1
2022-10-05,1
2022-10-06,1
2022-10-07,1
2022-10-08,1
2022-10-09,1
2022-10-10,2
2022-10-11,2
2022-10-12,2
2022-10-13,2
2022-10-14,2
2022-10-15,2
2022-10-16,2
2022-10-17,3
2022-10-18,3
2022-10-19,3
2022-10-20,3
2022-10-21,3
2022-10-22,3
2022-10-23,3
2022-10-24,4
2022-10-25,4
2022-10-26,4
2022-10-27,4
2022-10-28,4
2022-10-29,4
2022-10-30,4
2022-10-31,5
2022-11-01,5
2022-11-02,5
2022-11-03,5
2022-11-04,5
2022-11-05,5
2022-11-06,5
2022-11-07,6
2022-11-08,6
2022-11-09,6
2022-11-10,6
2022-11-11,6
2022-11-12,6
2022-11-13,6
2022-11-14,7
2022-11-15,7
2022-11-16,7
2022-11-17,7
2022-11-18,7
2022-11-19,7
2022-11-20,7
2022-11-21,8
2022-11-22,8
2022-11-23,8
2022-11-24,8
2022-11-25,8
2022-11-26,8
2022-11-27,8
2022-11-28,9
2022-11-29,9
2022-11-30,9
2022-12-01,9
2022-12-02,9
2022-12-03,9
2022-12-04,9
2022-12-05,10
2022-12-06,10
2022-12-07,10
2022-12-08,10
2022-12-09,10
2022-12-10,10
2022-12-11,10
2022-12-12,11
2022-12-13,11
2022-12-14,11
2022-12-15,11
2022-12-16,11
2022-12-17,11
2022-12-18,11
2022-12-19,12
2022-12-20,12
2022-12-21,12
2022-12-22,12
2022-12-23,12
2022-12-24,12
2022-12-25,12
2022-12-26,13
2022-12-27,13
2022-12-28,13
2022-12-29,13
2022-12-30,13
2022-12-31,13
2023-01-01,13
2023-01-02,14
2023-01-03,14
2023-01-04,14
2023-01-05,14
2023-01-06,14
2023-01-07,14
2023-01-08,14
2023-01-09,15
2023-01-10,15
2023-01-11,15
2023-01-12,15
2023-01-13,15
2023-01-14,15
2023-01-15,15
2023-01-16,16
2023-01-17,16
2023-01-18,16
2023-01-19,16
2023-01-20,16
2023-01-21,16
2023-01-22,16
2023-01-23,17
2023-01-24,17
2023-01-25,17
2023-01-26,17
2023-01-27,17
2023-01-28,17
2023-01-29,17
2023-01-30,18
2023-01-31,18
2023-02-01,18
2023-02-02,18
2023-02-03,18
2023-02-04,18
2023-02-05,18
2023-02-06,19
2023-02-07,19
2023-02-08,19
2023-02-09,19
2023-02-10,19
2023-02-11,19
2023-02-12,19
2023-02-13,20
2023-02-14,20
2023-02-15,20
2023-02-16,20
2023-02-17,20
2023-02-18,20
2023-02-19,20
2023-02-20,21
2023-02-21,21
2023-02-22,21
2023-02-23,21
2023-02-24,21
2023-02-25,21
2023-02-26,21
2023-02-27,22
2023-02-28,22
2023-03-01,22
2023-03-02,22
2023-03-03,22
2023-03-04,22
2023-03-05,22
2023-03-06,23
2023-03-07,23
2023-03-08,23
2023-03-09,23
2023-03-10,23
2023-03-11,23
2023-03-12,23
2023-03-13,24
2023-03-14,24
2023-03-15,24
2023-03-16,24
2023-03-17,24
2023-03-18,24
2023-03-19,24
2023-03-20,25
2023-03-21,25
2023-03-22,25
2023-03-23,25
2023-03-24,25
2023-03-25,25
2023-03-26,25
2023-03-27,26
2023-03-28,26
2023-03-29,26
2023-03-30,26
2023-03-31,26
2023-04-01,26
2023-04-02,26
2023-04-03,27
2023-04-04,27
2023-04-05,27
2023-04-06,27
2023-04-07,27
2023-04-08,27
2023-04-09,27
2023-04-10,28
2023-04-11,28
2023-04-12,28
2023-04-13,28
2023-04-14,28
2023-04-15,28
2023-04-16,28
2023-04-17,29
2023-04-18,29
2023-04-19,29
2023-04-20,29
2023-04-21,29
2023-04-22,29
2023-04-23,29
2023-04-24,30
2023-04-25,30
2023-04-26,30
2023-04-27,30
2023-04-28,30
2023-04-29,30
2023-04-30,30
2023-05-01,31
2023-05-02,31
2023-05-03,31
2023-05-04,31
2023-05-05,31
2023-05-06,31
2023-05-07,31
2023-05-08,32
2023-05-09,32
2023-05-10,32
2023-05-11,32
2023-05-12,32
2023-05-13,32
2023-05-14,32
2023-05-15,33
2023-05-16,33
2023-05-17,33
2023-05-18,33
2023-05-19,33
2023-05-20,33
2023-05-21,33
2023-05-22,34
2023-05-23,34
2023-05-24,34
2023-05-25,34
2023-05-26,34
2023-05-27,34
2023-05-28,34
2023-05-29,35
2023-05-30,35
2023-05-31,35
2023-06-01,35
2023-06-02,35
2023-06-03,35
2023-06-04,35
2023-06-05,36
2023-06-06,36
2023-06-07,36
2023-06-08,36
2023-06-09,36
2023-06-10,36
2023-06-11,36
2023-06-12,37
2023-06-13,37
2023-06-14,37
2023-06-15,37
2023-06-16,37
2023-06-17,37
2023-06-18,37
2023-06-19,38
2023-06-20,38
2023-06-21,38
2023-06-22,38
2023-06-23,38
2023-06-24,38
2023-06-25,38
2023-06-26,39
2023-06-27,39
2023-06-28,39
2023-06-29,39
2023-06-30,39
2023-07-01,39
2023-07-02,39
2023-07-03,40
2023-07-04,40
2023-07-05,40
2023-07-06,40
2023-07-07,40
2023-07-08,40
2023-07-09,40
2023-07-10,41
2023-07-11,41
2023-07-12,41
2023-07-13,41
2023-07-14,41
2023-07-15,41
2023-07-16,41
2023-07-17,42
2023-07-18,42
2023-07-19,42
2023-07-20,42
2023-07-21,42
2023-07-22,42
2023-07-23,42
2023-07-24,43
2023-07-25,43
2023-07-26,43
2023-07-27,43
2023-07-28,43
2023-07-29,43
2023-07-30,43
2023-07-31,44
